Time_(s), Base_Joint_Velocity_(rad/s), Shoulder_Joint_Velocity_(rad/s), Elbow_Joint_Velocity_(rad/s), Wrist_Pitch_Joint_Velocity_(rad/s), Wrist_Roll_Joint_Velocity_(rad/s)
1.667, -0.11795, -0.35000, 0.33859, 0.37954, -0.81976
1.678, -0.11881, -0.35000, 0.33859, 0.38139, -0.81976
1.689, -0.11966, -0.35000, 0.33859, 0.38319, -0.81976
1.700, -0.12048, -0.35000, 0.33859, 0.38495, -0.81976
1.711, -0.12128, -0.35000, 0.33859, 0.38665, -0.81976
1.722, -0.12205, -0.35000, 0.33859, 0.38832, -0.81976
1.733, -0.12281, -0.35000, 0.33859, 0.38993, -0.81976
1.744, -0.12354, -0.35000, 0.33859, 0.39150, -0.81976
1.756, -0.12425, -0.35000, 0.33859, 0.39303, -0.81976
1.767, -0.12493, -0.35000, 0.33859, 0.39451, -0.81976
1.778, -0.12559, -0.35000, 0.33859, 0.39594, -0.81976
1.789, -0.12624, -0.35000, 0.33859, 0.39733, -0.81976
1.800, -0.12685, -0.35000, 0.33859, 0.39867, -0.81976
1.811, -0.12745, -0.35000, 0.33859, 0.39996, -0.81976
1.822, -0.12802, -0.35000, 0.33859, 0.40121, -0.81976
1.833, -0.12857, -0.35000, 0.33859, 0.40241, -0.81976
1.844, -0.12910, -0.35000, 0.33859, 0.40357, -0.81976
1.856, -0.12961, -0.35000, 0.33859, 0.40468, -0.81976
1.867, -0.13009, -0.35000, 0.33859, 0.40574, -0.81976
1.878, -0.13055, -0.35000, 0.33859, 0.40676, -0.81976
1.889, -0.13099, -0.35000, 0.33859, 0.40773, -0.81976
1.900, -0.13140, -0.35000, 0.33859, 0.40866, -0.81976
1.911, -0.13180, -0.35000, 0.33859, 0.40954, -0.81976
1.922, -0.13217, -0.35000, 0.33859, 0.41037, -0.81976
1.933, -0.13252, -0.35000, 0.33859, 0.41116, -0.81976
1.944, -0.13284, -0.35000, 0.33859, 0.41190, -0.81976
1.956, -0.13314, -0.35000, 0.33859, 0.41260, -0.81976
1.967, -0.13342, -0.35000, 0.33859, 0.41325, -0.81976
1.978, -0.13368, -0.35000, 0.33859, 0.41386, -0.81976
1.989, -0.13392, -0.35000, 0.33859, 0.41441, -0.81976
2.000, -0.13413, -0.35000, 0.33859, 0.41493, -0.81976
2.011, -0.13432, -0.35000, 0.33859, 0.41539, -0.81976
2.022, -0.13449, -0.35000, 0.33859, 0.41581, -0.81976
2.033, -0.13463, -0.35000, 0.33859, 0.41619, -0.81976
2.044, -0.13476, -0.35000, 0.33859, 0.41652, -0.81976
2.056, -0.13486, -0.35000, 0.33859, 0.41680, -0.81976
2.067, -0.13494, -0.35000, 0.33859, 0.41704, -0.81976
2.078, -0.13499, -0.35000, 0.33859, 0.41723, -0.81976
2.089, -0.13502, -0.35000, 0.33859, 0.41737, -0.81976
2.100, -0.13503, -0.35000, 0.33859, 0.41746, -0.81976
2.111, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.122, -0.13503, -0.35000, 0.33859, 0.41753, -0.81976
2.133, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.144, -0.13503, -0.35000, 0.33859, 0.41751, -0.81976
2.156, -0.13503, -0.35000, 0.33859, 0.41751, -0.81976
2.167, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.178, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.189, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.200, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.211, -0.13503, -0.35000, 0.33859, 0.41751, -0.81976
2.222, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.233, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.244, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.256, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.267, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.278, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.289, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.300, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.311, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.322, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.333, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.344, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.356, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.367, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.378, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.389, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.400, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.411, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.422, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.433, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.444, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.456, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.467, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.478, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.489, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.500, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.511, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.522, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.533, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.544, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.556, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.567, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.578, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.589, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.600, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.611, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.622, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.633, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.644, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.656, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.667, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.678, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.689, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.700, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.711, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.722, -0.13503, -0.35000, 0.33859, 0.41751, -0.81976
2.733, -0.13503, -0.35000, 0.33859, 0.41751, -0.81976
2.744, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.756, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.767, -0.13503, -0.35000, 0.33859, 0.41752, -0.81976
2.778, -0.13503, -0.35000, 0.33859, 0.41751, -0.81976
2.789, -0.13503, -0.35000, 0.33859, 0.41749, -0.81976
2.800, -0.13503, -0.35000, 0.33859, 0.41743, -0.81976
2.811, -0.13503, -0.35000, 0.33859, 0.41731, -0.81976
2.822, -0.13501, -0.35000, 0.33859, 0.41714, -0.81976
2.833, -0.13497, -0.35000, 0.33859, 0.41693, -0.81976
2.844, -0.13491, -0.35000, 0.33859, 0.41667, -0.81976
2.856, -0.13482, -0.35000, 0.33859, 0.41637, -0.81976
2.867, -0.13471, -0.35000, 0.33859, 0.41602, -0.81976
2.878, -0.13458, -0.35000, 0.33859, 0.41562, -0.81976
2.889, -0.13442, -0.35000, 0.33859, 0.41518, -0.81976
2.900, -0.13424, -0.35000, 0.33859, 0.41469, -0.81976
2.911, -0.13404, -0.35000, 0.33859, 0.41416, -0.81976
2.922, -0.13382, -0.35000, 0.33859, 0.41358, -0.81976
2.933, -0.13358, -0.35000, 0.33859, 0.41295, -0.81976
2.944, -0.13331, -0.35000, 0.33859, 0.41228, -0.81976
2.956, -0.13302, -0.35000, 0.33859, 0.41156, -0.81976
2.967, -0.13271, -0.35000, 0.33859, 0.41080, -0.81976
2.978, -0.13237, -0.35000, 0.33859, 0.40999, -0.81976
2.989, -0.13201, -0.35000, 0.33859, 0.40913, -0.81976
3.000, -0.13163, -0.35000, 0.33859, 0.40823, -0.81976
3.011, -0.13123, -0.35000, 0.33859, 0.40728, -0.81976
3.022, -0.13080, -0.35000, 0.33859, 0.40629, -0.81976
3.033, -0.13036, -0.35000, 0.33859, 0.40525, -0.81976
3.044, -0.12989, -0.35000, 0.33859, 0.40416, -0.81976
3.056, -0.12939, -0.35000, 0.33859, 0.40303, -0.81976
3.067, -0.12888, -0.35000, 0.33859, 0.40185, -0.81976
3.078, -0.12834, -0.35000, 0.33859, 0.40063, -0.81976
3.089, -0.12778, -0.35000, 0.33859, 0.39936, -0.81976
3.100, -0.12720, -0.35000, 0.33859, 0.39804, -0.81976
3.111, -0.12659, -0.35000, 0.33859, 0.39668, -0.81976
3.122, -0.12596, -0.35000, 0.33859, 0.39527, -0.81976
3.133, -0.12531, -0.35000, 0.33859, 0.39382, -0.81976
3.144, -0.12464, -0.35000, 0.33859, 0.39232, -0.81976
3.156, -0.12395, -0.35000, 0.33859, 0.39077, -0.81976
3.167, -0.12323, -0.35000, 0.33859, 0.38918, -0.81976
3.178, -0.12249, -0.35000, 0.33859, 0.38754, -0.81976
3.189, -0.12173, -0.35000, 0.33859, 0.38586, -0.81976
3.200, -0.12094, -0.35000, 0.33859, 0.38413, -0.81976
3.211, -0.12013, -0.35000, 0.33859, 0.38235, -0.81976
3.222, -0.11930, -0.35000, 0.33859, 0.38053, -0.81976
3.233, -0.11845, -0.35000, 0.33859, 0.37866, -0.81976
3.244, -0.11757, -0.35000, 0.33859, 0.37675, -0.81976
3.256, -0.11667, -0.35000, 0.33859, 0.37479, -0.81976
3.267, -0.11577, -0.35000, 0.33859, 0.37278, -0.81976
3.278, -0.11487, -0.35000, 0.33859, 0.37073, -0.81976
3.289, -0.11397, -0.35000, 0.33859, 0.36863, -0.81976
3.300, -0.11307, -0.35000, 0.33859, 0.36649, -0.81976
3.311, -0.11217, -0.35000, 0.33859, 0.36430, -0.81976
3.322, -0.11127, -0.35000, 0.33859, 0.36206, -0.81976
3.333, -0.11037, -0.35000, 0.33859, 0.35978, -0.81976
3.344, -0.10947, -0.35000, 0.33859, 0.35745, -0.81976
3.356, -0.10857, -0.35000, 0.33859, 0.35508, -0.81976
3.367, -0.10767, -0.35000, 0.33859, 0.35266, -0.81976
3.378, -0.10677, -0.35000, 0.33859, 0.35019, -0.81976
3.389, -0.10587, -0.35000, 0.33859, 0.34768, -0.81976
3.400, -0.10497, -0.35000, 0.33859, 0.34512, -0.81976
3.411, -0.10407, -0.35000, 0.33859, 0.34252, -0.81976
3.422, -0.10317, -0.35000, 0.33859, 0.33987, -0.81976
3.433, -0.10227, -0.35000, 0.33859, 0.33717, -0.81976
3.444, -0.10137, -0.35000, 0.33859, 0.33443, -0.81976
3.456, -0.10047, -0.35000, 0.33859, 0.33164, -0.81976
3.467, -0.09956, -0.35000, 0.33859, 0.32881, -0.81976
3.478, -0.09866, -0.35000, 0.33859, 0.32593, -0.81976
3.489, -0.09776, -0.35000, 0.33859, 0.32300, -0.81976
3.500, -0.09686, -0.35000, 0.33859, 0.32003, -0.81976
3.511, -0.09596, -0.35000, 0.33859, 0.31701, -0.81976
3.522, -0.09506, -0.35000, 0.33859, 0.31395, -0.81976
3.533, -0.09416, -0.35000, 0.33859, 0.31084, -0.81976
3.544, -0.09326, -0.35000, 0.33859, 0.30768, -0.81976
3.556, -0.09236, -0.35000, 0.33859, 0.30448, -0.81976
3.567, -0.09146, -0.35000, 0.33859, 0.30123, -0.81976
3.578, -0.09056, -0.35000, 0.33859, 0.29794, -0.81976
3.589, -0.08966, -0.35000, 0.33859, 0.29460, -0.81976
3.600, -0.08876, -0.35000, 0.33859, 0.29121, -0.81976
3.611, -0.08786, -0.35000, 0.33859, 0.28778, -0.81976
3.622, -0.08696, -0.35000, 0.33859, 0.28430, -0.81976
3.633, -0.08606, -0.35000, 0.33859, 0.28078, -0.81976
3.644, -0.08516, -0.35000, 0.33859, 0.27721, -0.81976
3.656, -0.08426, -0.35000, 0.33859, 0.27359, -0.81976
3.667, -0.08336, -0.35000, 0.33859, 0.26993, -0.81976
3.678, -0.08246, -0.35000, 0.33859, 0.26622, -0.81976
3.689, -0.08156, -0.35000, 0.33859, 0.26247, -0.81976
3.700, -0.08066, -0.35000, 0.33859, 0.25867, -0.81976
3.711, -0.07976, -0.35000, 0.33859, 0.25481, -0.81976
3.722, -0.07886, -0.35000, 0.33859, 0.25094, -0.81976
3.733, -0.07796, -0.35000, 0.33859, 0.24706, -0.81976
3.744, -0.07705, -0.35000, 0.33859, 0.24318, -0.81976
3.756, -0.07615, -0.35000, 0.33859, 0.23931, -0.81976
3.767, -0.07525, -0.35000, 0.33859, 0.23544, -0.81976
3.778, -0.07435, -0.35000, 0.33859, 0.23156, -0.81976
3.789, -0.07345, -0.35000, 0.33859, 0.22769, -0.81976
3.800, -0.07255, -0.35000, 0.33859, 0.22382, -0.81975
3.811, -0.07165, -0.35000, 0.33859, 0.21994, -0.81976
3.822, -0.07075, -0.35000, 0.33859, 0.21607, -0.81975
3.833, -0.06985, -0.35000, 0.33859, 0.21220, -0.81968
3.844, -0.06895, -0.35000, 0.33859, 0.20832, -0.81924
3.856, -0.06805, -0.35000, 0.33859, 0.20445, -0.81844
3.867, -0.06715, -0.35000, 0.33859, 0.20057, -0.81730
3.878, -0.06625, -0.35000, 0.33859, 0.19670, -0.81581
3.889, -0.06535, -0.35000, 0.33859, 0.19283, -0.81398
3.900, -0.06445, -0.35000, 0.33859, 0.18895, -0.81179
3.911, -0.06355, -0.35000, 0.33859, 0.18508, -0.80926
3.922, -0.06265, -0.35000, 0.33859, 0.18121, -0.80638
3.933, -0.06175, -0.35000, 0.33859, 0.17733, -0.80315
3.944, -0.06085, -0.35000, 0.33859, 0.17346, -0.79957
3.956, -0.05995, -0.35000, 0.33859, 0.16958, -0.79564
3.967, -0.05905, -0.35000, 0.33859, 0.16571, -0.79137
3.978, -0.05815, -0.35000, 0.33859, 0.16184, -0.78675
3.989, -0.05725, -0.35000, 0.33859, 0.15799, -0.78178
4.000, -0.05635, -0.35000, 0.33860, 0.15420, -0.77646
4.011, -0.05545, -0.35000, 0.33859, 0.15045, -0.77079
4.022, -0.05454, -0.35000, 0.33860, 0.14676, -0.76478
4.033, -0.05364, -0.35000, 0.33860, 0.14311, -0.75841
4.044, -0.05274, -0.34999, 0.33851, 0.13950, -0.75170
4.056, -0.05184, -0.35001, 0.33819, 0.13594, -0.74464
4.067, -0.05094, -0.34999, 0.33765, 0.13243, -0.73723
4.078, -0.05004, -0.34982, 0.33689, 0.12896, -0.72948
4.089, -0.04914, -0.34939, 0.33590, 0.12554, -0.72137
4.100, -0.04824, -0.34871, 0.33469, 0.12216, -0.71292
4.111, -0.04734, -0.34778, 0.33325, 0.11883, -0.70412
4.122, -0.04644, -0.34661, 0.33159, 0.11555, -0.69497
4.133, -0.04554, -0.34519, 0.32971, 0.11231, -0.68547
4.144, -0.04464, -0.34353, 0.32761, 0.10912, -0.67563
4.156, -0.04374, -0.34162, 0.32528, 0.10597, -0.66543
4.167, -0.04284, -0.33946, 0.32272, 0.10287, -0.65489
4.178, -0.04194, -0.33705, 0.31995, 0.09982, -0.64400
4.189, -0.04104, -0.33440, 0.31695, 0.09681, -0.63276
4.200, -0.04014, -0.33150, 0.31372, 0.09385, -0.62118
4.211, -0.03924, -0.32835, 0.31028, 0.09093, -0.60924
4.222, -0.03834, -0.32496, 0.30661, 0.08806, -0.59696
4.233, -0.03744, -0.32132, 0.30271, 0.08524, -0.58433
4.244, -0.03654, -0.31743, 0.29859, 0.08246, -0.57135
4.256, -0.03564, -0.31329, 0.29425, 0.07973, -0.55802
4.267, -0.03474, -0.30891, 0.28969, 0.07704, -0.54435
4.278, -0.03384, -0.30428, 0.28490, 0.07441, -0.53032
4.289, -0.03293, -0.29941, 0.27989, 0.07181, -0.51596
4.300, -0.03203, -0.29429, 0.27465, 0.06926, -0.50121
4.311, -0.03113, -0.28892, 0.26919, 0.06676, -0.48627
4.322, -0.03023, -0.28330, 0.26351, 0.06431, -0.47134
4.333, -0.02933, -0.27744, 0.25761, 0.06190, -0.45640
4.344, -0.02843, -0.27133, 0.25148, 0.05953, -0.44147
4.356, -0.02753, -0.26497, 0.24512, 0.05722, -0.42654
4.367, -0.02663, -0.25837, 0.23854, 0.05494, -0.41160
4.378, -0.02573, -0.25151, 0.23175, 0.05272, -0.39667
4.389, -0.02483, -0.24442, 0.22472, 0.05054, -0.38174
4.400, -0.02393, -0.23708, 0.21749, 0.04840, -0.36680
4.411, -0.02303, -0.22947, 0.21020, 0.04632, -0.35187
4.422, -0.02213, -0.22171, 0.20292, 0.04428, -0.33694
4.433, -0.02123, -0.21392, 0.19564, 0.04228, -0.32201
4.444, -0.02033, -0.20615, 0.18836, 0.04033, -0.30718
4.456, -0.01943, -0.19837, 0.18109, 0.03843, -0.29272
4.467, -0.01852, -0.19059, 0.17381, 0.03657, -0.27862
4.478, -0.01763, -0.18282, 0.16653, 0.03476, -0.26486
4.489, -0.01675, -0.17504, 0.15925, 0.03299, -0.25146
